Parameter,Subject/Group-level,Map Estimate,"Sampling Estimate:
Posterior Mean","Sampling Estimate:
Posterior Standard Deviation",Gelman-Rubin diagnostic
mu_alpha,Group-level,0.500,0.565,0.217,1.020
sigma_alpha,Group-level,2.301,2.622,3.587,1.040
mu_beta,Group-level,-0.551,0.434,0.530,1.020
sigma_beta,Group-level,0.012,1.351,0.348,1.090
alpha,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.478,0.462,0.328,1.050
beta2,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.035,-0.040,0.500,1.010
beta_mb,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.442,0.796,1.199,1.060
beta_mf0,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,-0.907,-0.828,0.999,1.020
beta_mf1,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,-0.789,-0.823,1.114,1.020
beta_st,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.075,0.222,0.880,1.030
alpha,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,0.509,0.779,0.204,1.060
beta2,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,1.603,1.048,0.636,1.030
beta_mb,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,0.281,0.404,0.930,1.020
beta_mf0,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,1.331,1.276,1.168,1.050
beta_mf1,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,1.461,1.725,1.174,1.040
beta_st,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,0.167,0.336,0.913,1.020
